Forehead,InnerEyeCorner ,OuterEyeCorner ,NoseTip ,MouthCorner ,Cheek,Ear,CoreTemp
96.68,98.03,97.53,96.44,98.49,97.66,98.13,98.84
97.54,98.88,97.48,96.05,98.65,97.54,97.5,98.88
97.53,99.35,97.0,96.67,98.64,97.26,99.2,98.72
95.42,99.2,97.99,96.23,97.17,96.82,99.48,98.91
96.59,98.39,98.42,96.37,97.03,97.05,99.55,98.49
98.49,97.85,98.18,95.48,98.32,97.12,98.66,98.66
97.0,98.74,96.94,96.09,97.89,97.13,97.97,98.73
97.24,98.39,97.56,96.33,98.29,97.63,99.13,98.49
98.32,99.45,97.85,96.28,97.85,97.53,98.13,98.47
97.27,98.91,97.17,96.15,97.61,96.73,98.16,98.67
96.5,98.38,98.07,97.05,98.24,97.5,98.85,98.79
96.3,98.6,97.67,95.59,98.5,96.95,98.66,98.82
96.51,98.12,96.84,96.58,98.32,97.14,98.78,98.82
96.51,98.73,97.91,95.82,97.94,96.99,98.16,98.74
96.34,97.85,97.6,96.08,98.48,96.86,98.3,98.43
97.75,98.79,96.84,96.05,98.41,97.79,98.79,98.31
97.42,98.83,97.85,96.91,97.87,97.52,98.61,98.88
97.55,98.07,96.98,96.02,97.86,97.3,98.21,98.65
98.05,98.77,96.43,96.29,98.17,97.76,98.0,99.07
97.71,98.67,97.61,95.64,98.63,97.7,99.45,98.3
96.57,99.19,97.1,96.77,98.21,97.85,98.48,99.07
96.92,98.44,97.07,96.04,98.71,96.99,98.26,98.74
97.79,98.15,97.65,96.49,98.85,97.51,98.78,98.68
96.96,98.7,97.38,96.2,98.34,97.55,98.32,98.62
95.84,98.27,96.95,96.08,98.34,96.26,98.99,98.31
98.52,98.2,98.0,96.26,97.56,98.02,98.12,98.8
97.44,98.73,96.87,95.64,97.94,97.7,99.69,98.87
96.95,98.97,98.24,96.26,97.79,97.58,99.4,98.35
98.27,98.23,97.36,94.91,98.3,97.57,99.25,99.23
97.1,98.45,98.63,95.9,97.7,96.61,98.62,98.87
100.7,98.98,96.97,96.48,97.07,97.07,99.17,98.74
98.65,99.15,97.99,96.2,97.49,97.19,98.52,98.86
96.97,98.27,97.27,95.91,98.23,97.35,98.77,99.0
97.33,98.66,98.63,96.26,98.06,97.62,98.98,98.62
97.13,98.48,97.49,95.99,97.95,97.45,98.59,98.74
96.6,98.21,97.79,96.42,98.3,98.12,98.67,98.2
97.39,99.2,97.77,96.61,97.67,97.78,98.07,98.29
100.41,98.66,97.27,97.2,98.15,97.53,99.13,98.64
98.29,98.22,98.28,96.07,98.12,97.74,98.73,98.86
97.82,98.64,96.87,96.6,98.02,97.58,99.28,98.96
97.46,98.62,97.95,95.88,98.28,97.2,98.52,98.41
97.46,98.61,98.1,96.34,97.96,97.31,99.17,98.62
97.46,98.74,97.53,96.22,98.46,97.3,99.35,98.89
97.88,98.9,97.52,95.6,98.08,96.23,98.72,98.36
98.61,99.11,98.33,96.21,98.46,98.35,98.37,98.65
97.38,98.49,97.63,96.66,97.91,97.56,98.98,98.46
96.42,98.72,97.7,96.57,97.4,97.16,98.97,98.79
97.12,98.82,98.21,95.91,98.29,96.85,98.35,98.74
97.35,99.49,96.79,96.22,98.6,97.51,98.17,98.95
99.89,98.68,97.57,95.39,98.22,97.81,99.29,98.51
97.4,98.97,97.32,96.36,97.56,96.93,98.92,98.43
98.55,98.61,96.62,96.25,98.21,97.02,98.64,98.61
99.47,98.56,97.65,96.56,98.6,97.53,97.84,98.72
98.11,98.68,97.32,96.01,97.47,98.5,97.93,98.75
98.97,97.69,97.9,95.79,97.61,97.71,99.03,98.68
99.07,99.01,97.31,96.23,98.14,97.89,99.01,99.03
96.38,98.1,97.36,96.51,98.56,97.28,98.33,98.66
97.25,98.87,96.9,96.0,97.43,97.51,98.24,98.54
98.8,98.73,96.95,96.91,98.53,97.23,98.61,98.15
98.7,98.51,98.04,96.58,97.83,97.68,98.4,98.43
97.14,98.98,97.04,97.13,98.01,97.67,98.2,98.5
97.83,97.91,97.55,96.81,98.35,97.43,97.91,97.84
97.47,97.41,97.1,96.66,98.03,96.96,98.15,98.53
97.59,98.39,98.04,96.76,98.33,97.42,98.66,98.48
97.07,98.52,97.5,96.23,98.2,98.45,98.11,98.58
97.04,99.02,98.55,96.56,98.59,97.63,97.8,98.73
97.33,97.57,97.35,96.33,97.59,96.82,98.73,98.81
98.02,97.42,98.41,95.67,98.26,97.9,97.95,98.65
97.08,98.86,97.71,95.91,98.04,98.25,99.91,98.62
98.74,97.91,97.71,96.26,98.37,97.48,99.43,98.9
96.05,98.29,97.86,96.91,98.08,97.36,98.88,98.96
96.98,98.63,96.83,96.53,97.82,97.29,98.14,98.99
97.51,98.46,97.09,96.46,98.55,98.07,98.05,98.65
96.83,98.01,97.77,95.56,98.45,97.48,98.6,98.68
97.91,97.92,97.67,96.3,98.51,96.71,99.29,98.34
100.3,98.9,97.38,96.52,98.01,96.52,98.81,99.11
95.41,97.98,97.58,95.81,97.94,98.03,98.42,99.08
97.55,98.81,97.44,96.17,97.87,96.23,98.9,98.69
98.02,98.35,97.3,95.82,98.36,96.08,98.75,98.86
97.38,98.56,97.22,97.15,98.3,97.27,98.41,98.62
96.42,98.24,97.48,96.18,98.76,96.92,98.66,98.73
97.59,98.95,97.48,96.84,98.41,97.1,98.35,98.9
97.82,98.94,96.97,96.33,97.5,97.05,98.28,98.45
97.65,98.18,97.58,96.2,98.39,96.63,98.72,98.99
96.74,98.13,96.67,96.63,98.59,97.69,98.74,98.59
97.9,98.87,98.03,96.12,98.27,98.41,99.12,98.23
97.64,98.43,97.69,95.79,97.77,98.21,98.62,98.54
96.89,98.26,98.45,96.19,97.5,97.62,98.75,98.8
98.46,98.72,96.76,96.05,98.01,98.01,98.49,98.42
96.39,99.02,97.43,96.33,97.5,97.33,98.86,98.55
96.55,98.59,96.77,96.75,98.34,97.05,98.54,98.53
98.62,98.96,98.26,97.16,97.98,95.87,99.1,98.79
98.66,98.38,96.93,96.34,98.02,97.16,98.21,98.37
95.69,98.36,96.7,96.67,97.45,97.21,100.0,98.78
98.58,98.52,97.66,95.66,97.83,97.36,99.34,98.68
99.06,98.48,96.96,97.16,98.01,97.97,99.69,99.08
98.0,97.81,97.26,96.19,98.51,97.69,98.75,98.49
98.46,98.69,97.18,95.97,98.09,97.2,98.67,98.53
98.73,97.46,97.93,95.96,98.28,97.72,98.59,98.22
98.51,98.32,97.18,97.27,98.28,97.75,99.31,99.09
99.29,98.05,97.91,97.11,98.32,97.08,98.8,98.56
98.73,97.97,97.43,96.89,98.32,97.5,98.92,98.86
97.46,98.26,97.28,95.89,98.43,96.26,98.07,98.61
97.59,99.32,96.9,97.17,97.82,97.66,98.78,98.68
97.1,98.84,97.55,96.8,97.31,96.83,98.33,98.85
99.63,98.5,97.54,96.03,97.85,97.02,98.87,98.87
97.9,98.26,97.95,96.46,98.74,97.72,98.48,98.43
98.94,98.53,97.42,95.91,97.73,97.28,99.18,98.89
95.77,98.33,97.34,95.74,98.37,96.6,99.1,99.05
98.13,98.05,97.85,96.4,98.28,98.05,98.28,98.36
99.58,99.22,97.92,96.67,98.8,97.09,98.97,98.58
97.03,98.07,97.71,96.73,98.1,97.54,99.1,98.48
98.27,98.95,97.07,96.71,98.75,98.95,98.27,98.77
97.73,98.56,97.04,96.33,97.3,95.65,98.95,98.88
99.08,99.17,97.81,96.15,99.0,97.26,98.69,98.41
96.56,98.68,97.98,96.89,97.28,98.26,98.65,98.39
99.62,98.97,97.36,95.61,98.58,97.25,98.63,98.69
97.19,98.7,98.02,95.67,98.73,97.19,98.66,98.41
98.32,97.99,98.12,95.49,98.67,97.44,99.06,98.62
98.26,98.99,97.64,96.36,99.24,97.71,98.12,98.04
98.64,98.64,98.15,95.83,98.05,97.59,98.97,98.4
98.26,98.91,97.72,96.5,97.94,98.11,98.73,98.03
97.54,99.41,97.37,96.66,97.84,97.04,98.73,99.13
100.33,98.35,98.01,96.09,98.31,97.74,99.05,98.59
95.94,98.92,96.83,96.59,98.25,96.83,98.81,98.91
98.17,98.68,98.11,96.41,98.2,98.12,99.24,98.7
96.69,98.07,97.7,95.78,98.15,97.68,98.63,98.68
95.89,98.78,97.31,96.36,98.54,96.46,98.88,98.65
96.66,99.19,97.75,96.42,98.02,96.62,98.41,98.35
97.79,98.26,98.58,96.13,98.17,97.31,98.14,98.29
95.99,99.01,97.68,96.12,98.07,98.66,97.88,98.26
95.93,98.45,98.16,96.78,98.8,97.86,97.99,98.87
97.1,99.47,96.74,96.81,98.49,96.67,98.48,98.75
97.55,98.41,98.28,96.26,98.19,97.57,98.9,98.84
97.76,98.31,97.1,95.92,97.58,96.41,98.97,98.54
97.67,98.71,98.87,95.36,99.0,96.37,98.47,98.79
97.71,97.85,96.97,96.34,98.12,97.3,98.63,99.22
99.41,97.97,97.29,95.95,98.33,97.05,98.66,98.58
97.76,97.99,97.25,96.77,97.57,97.0,98.51,98.68
96.23,98.46,98.27,95.56,98.74,97.23,99.72,98.78
98.54,98.38,97.64,96.3,97.78,97.16,98.56,98.63
97.54,97.94,96.83,95.72,97.32,96.74,98.54,98.21
97.89,99.19,98.42,96.15,98.59,96.53,98.49,98.8
95.55,98.53,98.97,95.88,98.41,96.79,98.13,98.82
96.95,99.12,97.64,96.36,98.16,98.03,98.85,98.33
96.92,98.82,96.61,96.26,98.93,97.08,98.45,98.54
98.32,98.25,97.8,96.29,98.24,97.21,99.29,98.69
97.0,99.47,97.63,95.66,98.25,97.09,98.97,99.01
98.89,97.79,97.09,96.4,97.69,97.7,98.56,98.88
97.86,98.54,97.07,96.98,97.21,96.94,99.19,98.75
98.43,99.29,97.56,96.62,97.66,97.25,98.81,98.6
95.54,98.42,97.11,96.2,98.89,98.14,97.85,98.65
96.96,98.46,96.88,95.18,98.58,97.26,98.86,98.54
97.17,99.04,97.04,95.89,97.56,97.59,98.78,98.7
98.41,97.9,97.81,97.11,98.14,98.33,98.29,98.19
95.67,99.39,96.85,96.42,98.16,97.72,99.22,98.44
98.02,98.96,97.64,96.42,98.53,96.28,98.51,98.46
97.95,99.28,96.93,96.29,98.0,97.46,98.63,98.88
95.87,98.16,97.77,97.13,97.7,97.45,98.68,98.63
96.08,98.91,98.01,96.05,98.17,97.88,98.7,98.63
98.43,98.01,97.65,96.69,97.38,97.98,98.64,98.83
95.89,98.76,97.67,97.05,98.84,96.45,98.26,99.09
98.67,97.96,97.51,96.06,98.19,98.84,98.48,98.69
96.77,98.25,96.95,96.74,97.82,97.93,98.16,98.56
97.55,99.11,97.59,96.27,97.9,96.95,98.4,98.49
97.67,98.44,98.45,96.57,97.65,98.04,98.21,98.85
97.1,98.31,97.44,95.84,98.0,97.34,98.86,98.68
96.5,98.76,98.44,96.54,97.69,96.97,99.2,98.81
96.1,98.43,97.68,95.83,98.69,98.14,98.08,99.02
97.51,98.72,97.43,95.67,98.88,97.12,99.0,98.56
98.2,98.97,96.83,95.77,98.37,97.49,98.68,98.63
96.88,98.42,96.36,96.76,98.04,98.52,98.34,98.86
98.12,97.95,96.53,95.57,98.22,97.38,97.61,98.52
98.23,99.19,97.01,95.33,98.55,97.45,99.02,98.87
98.76,98.93,98.31,96.93,97.98,97.55,98.59,98.86
96.68,98.7,96.42,96.47,98.41,97.04,98.61,98.91
99.26,98.7,96.92,96.21,98.2,97.59,99.72,98.2
97.57,98.38,98.26,95.6,98.2,96.74,98.57,98.37
98.33,97.97,97.49,96.35,98.14,96.81,98.7,98.7
98.3,98.01,97.81,95.85,97.51,97.24,98.61,98.66
99.48,98.18,98.09,96.71,98.06,97.17,98.04,98.34
99.06,98.49,97.59,96.76,98.7,97.25,98.11,99.14
96.48,98.43,96.85,96.69,98.44,98.07,99.13,98.69
97.81,99.37,97.39,97.07,97.86,97.81,97.9,98.37
97.27,98.06,97.33,96.15,98.48,97.07,98.94,98.56
96.64,97.92,97.52,96.41,98.15,97.03,98.45,98.59
97.49,98.62,98.11,96.48,97.92,97.51,98.76,98.34
98.86,98.76,97.79,96.0,98.28,97.72,98.75,98.86
96.92,99.07,97.07,95.22,98.54,96.95,98.45,98.88
97.25,98.91,97.26,96.63,98.55,97.2,97.98,98.39
96.75,97.68,96.88,95.57,98.48,96.92,99.09,98.9
97.97,98.54,96.11,97.11,98.5,97.46,98.54,98.62
97.69,98.48,97.57,95.16,97.46,97.73,99.26,98.81
97.33,97.58,97.11,95.34,98.12,97.39,98.39,98.61
98.17,98.88,97.38,95.89,98.27,97.42,98.95,98.43
97.08,98.44,97.63,96.08,98.52,97.8,98.77,98.73
97.71,98.0,98.12,95.65,98.0,97.55,98.19,98.91
97.09,98.02,97.12,96.44,98.48,97.74,98.43,98.75
97.56,98.99,97.41,95.73,97.65,96.55,98.72,98.35
97.55,98.85,97.33,96.7,98.36,97.43,98.58,98.76
96.43,98.66,97.89,96.33,97.58,98.25,99.01,98.83
97.04,98.53,97.03,96.05,98.31,97.17,99.24,98.82
97.27,99.14,96.42,96.71,98.62,97.43,98.81,98.65
97.86,98.51,98.14,96.23,98.33,97.88,98.74,98.72
97.44,98.71,97.63,96.8,98.09,97.29,98.48,99.06
96.51,98.02,97.78,95.54,98.53,97.89,98.84,98.76
97.57,97.98,97.52,96.26,97.9,96.88,99.21,98.92
97.21,98.36,97.38,95.46,98.62,97.51,98.44,98.72
96.52,98.49,97.55,95.98,98.27,97.61,98.87,98.99
97.3,98.95,97.21,96.94,97.9,96.81,97.86,98.58
96.19,98.71,98.1,96.07,98.32,97.71,98.93,98.44
97.65,98.83,97.21,95.45,98.07,98.08,98.85,98.63
98.21,98.94,97.78,97.09,99.15,97.28,98.4,98.83
96.21,98.61,97.66,96.52,97.53,98.65,99.1,98.62
